n,排序法,平均時間(μs)
500,Insertion,116
500,Merge,12
500,Heap,28
500,Quick,54
1000,Insertion,427
1000,Merge,21
1000,Heap,63
1000,Quick,277
2000,Insertion,1667
2000,Merge,45
2000,Heap,161
2000,Quick,1097
3000,Insertion,3805
3000,Merge,72
3000,Heap,250
3000,Quick,1989
4000,Insertion,7772
4000,Merge,101
4000,Heap,396
4000,Quick,3639
5000,Insertion,11988
5000,Merge,136
5000,Heap,460
5000,Quick,5676
10000,Insertion,43858
10000,Merge,297
10000,Heap,986
10000,Quick,20665
